2122810800,(212) 281-0800,Dunkin' Donuts,3600 Broadway,40.82839,-73.9487,$,3.5,13,04/02/2019,06E|10F|06D|10F|04N|08A|04L|08A|04H|04L|04N|06C|08A|10F|06D|10F|02G|04M|08A,3600 Broadway,8,A,Cycle Inspection / Initial Inspection,Caf̩/Coffee/Tea,Critical,Dunkin' Donuts,New York,US,NY,10031,MANHATTAN,10031,19
9179299099,(718) 349-9414,,699 Manhattan Ave,40.725477,-73.9520469,$$,3.5,28,01/01/1900,,699 Manhattan Ave,,,,Other,Not Applicable,Greenpoint Finest Deli,Brooklyn,US,NY,11222,BROOKLYN,11222,1
7187485800,(718) 748-5800,Chill Bar & Hookah Lounge,7810 5th Ave,40.62714,-74.02397,$$,4.0,77,02/20/2019,04J|05B|05H|06C|04H|04M|08A|10B|04H|10B|10F,7810 5th Ave,51,,Cycle Inspection / Initial Inspection,Other,Critical,Chill Bar and Hookah Lounge,Brooklyn,US,NY,11209,BROOKLYN,11209,11
7186843010,(718) 684-3010,La Mellas Restaurant,1452 Westchester Ave,40.828066,-73.882205,,1.0,2,11/07/2018,02B|06C|10A|10F|02G|02H|04H|16B|02B|06C||05H|05C|05H|10B|10F,1452 Westchester Ave,9,A,Cycle Inspection / Initial Inspection,Latin (Cuban/ Dominican/ Puerto Rican/ South & Central American),Critical,Las Mellas,Bronx,US,NY,10472,BRONX,10472,16
7184491284,(917) 723-3232,Margarita Island,1105 Bowery St,40.57485,-73.97922,$$,3.5,28,04/06/2019,04A|06E|10B|04N|06C|06D|08A||06C|10B|15F|04A|04H|04N|06C|08A|06C|04A|04H|04N|05A|05C|05D|06C|06D|08A|10A|15A|22A,1105 Bowery St,17,,Cycle Inspection / Initial Inspection,Bottled beverages/ including water/ sodas/ juices/ etc.,Critical,Margarita Island,Brooklyn,US,NY,11224,BROOKLYN,11224,29
7182785888,(718) 278-5888,Tamashii Ramen,2905 Broadway,40.7628026,-73.926578,$$,4.0,649,05/01/2018,09B|10F|06E|10I|06D|09B|10F|06E|10I|06D,2905 Broadway,4,A,Cycle Inspection / Initial Inspection,Japanese,Not Critical,Tamashii Ramen,Astoria,US,NY,11106,QUEENS,11106,10
3472944159,(718) 213-2290,Haenyeo,239 5th Ave,40.67519,-73.98116,,4.0,42,01/12/2019,02G,239 5th Ave,7,A,Pre-permit (Operational) / Initial Inspection,Korean,Critical,Haenyeo,Brooklyn,US,NY,11215,BROOKLYN,11215,1
6462883386,(646) 422-7900,Penguin Ice Cream,196 Canal St,40.71681,-73.99822,,3.5,8,04/08/2019,04H|06D|06E|10B|10F|04J|04L|05H,196 Canal St,19,,Cycle Inspection / Initial Inspection,Ice Cream/ Gelato/ Yogurt/ Ices,Critical,Penguin Ice Cream,New York,US,NY,10013,MANHATTAN,10013,8
6462087786,,,16 W 17th St,40.73829,-73.99335,$,4.0,7,01/01/1900,,16 W 17th St,,,,Other,Not Applicable,Espresso Matto,New York,US,NY,10011,MANHATTAN,10011,1
7184843111,(718) 484-3111,Bombay Spice,1018 Bergen St,40.676071,-73.952543,$$,4.0,45,01/22/2019,02A|04L|02H|04L|06A|08A|04L|08A||02B|04L|06E|06A|06C|10F,1018 Bergen St,15,B,Cycle Inspection / Re-inspection,Indian,Critical,Bombay Spice,Brooklyn,US,NY,11216,BROOKLYN,11216,15
9176393655,(917) 639-3655,Springbone Kitchen,74 Pearl St,40.70374,-74.01046,,3.5,13,04/09/2019,06C|10A|10C|10H|20D,74 Pearl St,12,A,Pre-permit (Operational) / Initial Inspection,American,Critical,Springbone Kitchen,New York,US,NY,10004,MANHATTAN,10004,5
7183335363,(718) 333-5363,Georgian Dream,8309 3rd Ave,40.6253623962402,-74.0299835205078,$$,3.5,50,11/16/2018,06C|09C|10F,8309 3rd Ave,13,A,Pre-permit (Operational) / Initial Inspection,Eastern European,Critical,Georgian Cuisine,Brooklyn,US,NY,11209,BROOKLYN,11209,3
3473652710,(347) 365-2710,Santa Salsa,234 Starr St,40.705553,-73.922343,$,4.0,79,04/11/2018,06C|06D,234 Starr St,10,A,Pre-permit (Operational) / Initial Inspection,Latin (Cuban/ Dominican/ Puerto Rican/ South & Central American),Critical,Santa Salsa,Brooklyn,US,NY,11237,BROOKLYN,11237,2
7186551771,(718) 655-1771,El Valle Restaurante,3452 Boston Rd,40.87621,-73.84844,,2.0,29,01/23/2019,02B|02H|04N|06C|06E|08A|02G|04L|04N|06C|08A|10B|10F|10H|02B|04L|08A|10H|02B|02H|04L|06E|16B|20F|02B|04L|06C|08A|08C||02B|02C|04A|06C|09C|10F|04L|08A|04L|08A|04M|08A|08B|10F,3452 Boston Rd,40,Z,Cycle Inspection / Re-inspection,Spanish,Critical,El Valle Restaurant Bar,East Bronx,US,NY,10469,BRONX,10469,44
7708917032,(347) 240-4281,Brooklyn Tea,524 Nostrand Ave,40.68084,-73.94982,,5.0,32,03/06/2019,06C|06D|10E,524 Nostrand Ave,12,A,Pre-permit (Operational) / Initial Inspection,Caf̩/Coffee/Tea,Critical,Brooklyn Tea,Brooklyn,US,NY,11216,BROOKLYN,11216,3
3473267097,(347) 326-7097,Thwaites Place Pelham Pizza,694 Thwaites Pl,40.8586520595568,-73.8682784745483,,4.0,8,12/24/2018,09B|10F|10I||05F|06C|10E|10J|15F|20A|20D,694 Thwaites Pl,6,A,Cycle Inspection / Initial Inspection,Pizza,Not Critical,Pelham Pizza,Bronx,US,NY,10467,BRONX,10467,11
9179091314,(917) 909-1314,Julia's Beer And Wine Bar,818 Woodward Ave,40.703143,-73.902956,$$,4.5,185,03/22/2019,02G|02H|04L|08A|10F|04L|08A|15F|04L|08A|04L|10B|04L|02G|04L|08A|15L,818 Woodward Ave,27,,Cycle Inspection / Initial Inspection,American,Critical,Julia's,Ridgewood,US,NY,11385,QUEENS,11385,17
7182549600,(718) 254-9600,Maison Kayser,57 Court St,40.6921231,-73.9911683,$$,3.5,115,03/27/2019,02B|10B|10F|02G|10F|10E|06A|06E|10F|04A|06C|09C,57 Court St,13,A,Cycle Inspection / Initial Inspection,French,Critical,Maison Kayser,Brooklyn,US,NY,11201,BROOKLYN,11201,12
9176271984,(347) 987-4306,Givers And Takers,286 3rd Ave,40.6773146311088,-73.9863216102727,$$,4.5,31,04/06/2019,04C|10F|10I|06D|10F|15F|04C|10J,286 3rd Ave,11,A,Cycle Inspection / Initial Inspection,American,Critical,Givers And Takers,Brooklyn,US,NY,11215,BROOKLYN,11215,8
